11,ACEH
11.01,KAB. ACEH SELATAN
11.01.01,Bakongan
11.01.01.2001,Keude Bakongan
11.01.01.2002,Ujong Mangki
11.01.01.2003,Ujong Padang
11.01.01.2004,Gampong Drien
11.01.01.2015,Darul Ikhsan
11.01.01.2016,Padang Beurahan
11.01.01.2017,Gampong Baro
11.01.02,Kluet Utara
11.01.02.2001,Fajar Harapan
11.01.02.2002,Krueng Batee
11.01.02.2003,Pasi Kuala Asahan
11.01.02.2004,Gunung Pulo
11.01.02.2005,Pulo Ie I
11.01.02.2006,Jambo Manyang
11.01.02.2007,Simpang Empat
11.01.02.2008,Limau Purut
11.01.02.2009,Pulo Kambing
11.01.02.2010,Kampung Paya
11.01.02.2011,Krueng Batu
11.01.02.2012,Krueng Kluet
11.01.02.2013,Alur Mas
11.01.02.2014,Kampung Tinggi
11.01.02.2015,Ruak
11.01.02.2016,Simpang Lhee
11.01.02.2017,Suaq Geuringgeng
11.01.02.2018,Pasi Kuala Ba'u
11.01.02.2019,Kedai Padang
11.01.02.2020,Kotafajar
11.01.02.2021,Gunung Pudung
