index,word,weight,number_of_words
1,hai,3.0,1.0
2,merekam,2.0,1.0
3,ekstensif,3.0,1.0
4,paripurna,1.0,1.0
5,detail,2.0,1.0
6,pernik,3.0,1.0
7,belas,2.0,1.0
8,welas,4.0,1.0
9,kabung,1.0,1.0
10,rahayu,4.0,1.0
11,maaf,2.0,1.0
12,hello,2.0,1.0
13,promo,3.0,1.0
14,terimakasih,5.0,1.0
15,cover,3.0,1.0
16,mohon,2.0,1.0
17,mengawal,2.0,1.0
18,statistik,1.0,1.0
19,keluangan,3.0,1.0
20,jalan terbuka,3.0,2.0
21,banyaknya,3.0,1.0
22,lebar,3.0,1.0
23,bentang,1.0,1.0
24,hendaknya,1.0,1.0
25,silahkan,3.0,1.0
26,semboyan,2.0,1.0
27,ditunggu,2.0,1.0
28,akses,2.0,1.0
29,penerangan,2.0,1.0
30,hi,1.0,1.0
31,dibantu,2.0,1.0
32,makasih,4.0,1.0
33,halo,1.0,1.0
34,thanks,3.0,1.0
35,pengembangan,3.0,1.0
36,diva,2.0,1.0
37,punya,3.0,1.0
38,tidak segan,2.0,2.0
39,detailnya,1.0,1.0
40,tak segan,2.0,2.0
41,aktivasi,2.0,1.0
42,asih,3.0,1.0
43,kasih sayang,5.0,2.0
44,kekaguman,4.0,1.0
45,kehangatan,4.0,1.0
46,afeksi,2.0,1.0
47,renjana,2.0,1.0
48,amor,2.0,1.0
49,cinta kasih,5.0,2.0
50,tresna,2.0,1.0
51,filantropi,2.0,1.0
52,cintrong,2.0,1.0
53,dinamika,3.0,1.0
54,tuhan,3.0,1.0
55,merespon,3.0,1.0
56,makmur,4.0,1.0
57,suka cita,4.0,2.0
58,pengguna,1.0,1.0
59,tunggu,1.0,1.0
60,lotre,2.0,1.0
61,nggak,1.0,1.0
62,kupon,3.0,1.0
63,terpelihara,4.0,1.0
64,terawat,5.0,1.0
65,tersadar,3.0,1.0
66,tari,1.0,1.0
67,gejolak,1.0,1.0
68,kejutan,3.0,1.0
69,pesta,4.0,1.0
70,getar,1.0,1.0
71,allah,5.0,1.0
72,berlabuh,3.0,1.0
73,terdaftar,1.0,1.0
74,negosiasi,2.0,1.0
75,revolusioner,3.0,1.0
76,follback,1.0,1.0
77,pelaminan,4.0,1.0
78,yasalamualaika,3.0,1.0
79,uang lelah,2.0,2.0
80,parsel,2.0,1.0
81,amplop,3.0,1.0
82,kenang-kenangan,3.0,1.0
83,pengasih,4.0,1.0
84,uang rokok,2.0,2.0
85,persenan,2.0,1.0
86,baksis,2.0,1.0
87,tanda mata,2.0,2.0
88,angpau,4.0,1.0
89,hibah,4.0,1.0
90,upa,2.0,1.0
91,bingkisan,4.0,1.0
92,suvenir,4.0,1.0
93,kesudian,2.0,1.0
94,berakar,2.0,1.0
95,para-para,2.0,1.0
96,termakan,1.0,1.0
97,kemasyhuran,4.0,1.0
98,reputasi,2.0,1.0
99,gelar,2.0,1.0
100,serep,2.0,1.0
101,invite,1.0,1.0
102,nyanyian,2.0,1.0
103,dendang,2.0,1.0
104,gita,2.0,1.0
105,gending,1.0,1.0
106,lagu,2.0,1.0
107,rintisan,2.0,1.0
108,bergelora,2.0,1.0
109,antusias,2.0,1.0
110,ringan tangan,4.0,2.0
111,membara,2.0,1.0
112,menyala,2.0,1.0
113,berlangganan,2.0,1.0
114,berdenyut,2.0,1.0
115,bersungguh-sungguh,4.0,1.0
116,rintis,2.0,1.0
117,jalan bebas hambatan,2.0,3.0
118,tarekat,2.0,1.0
119,bajing,1.0,1.0
120,bopong,1.0,1.0
121,berlezat,2.0,1.0
122,getaran,1.0,1.0
123,berperan serta,2.0,2.0
124,debar,2.0,1.0
125,raba,1.0,1.0
126,degub,1.0,1.0
127,ikut serta,3.0,2.0
128,berpartisipasi,3.0,1.0
129,menguntiti,1.0,1.0
130,penghayatan,3.0,1.0
131,mitra,2.0,1.0
132,diterima,2.0,1.0
133,sohib,3.0,1.0
134,beriktikad,2.0,1.0
135,berkeyakinan,3.0,1.0
136,beriman,3.0,1.0
137,percaya,2.0,1.0
138,menghajatkan,1.0,1.0
139,senyum,2.0,1.0
140,haloo,3.0,1.0
141,menarik hati,3.0,2.0
142,cedayam,2.0,1.0
143,hasan,3.0,1.0
144,tumandang,1.0,1.0
145,pengen,3.0,1.0
146,bener,3.0,1.0
147,hellooo,2.0,1.0
148,marilah,1.0,1.0
149,terbaik,5.0,1.0
150,ulung,4.0,1.0
151,good,5.0,1.0
152,silakan,1.0,1.0
153,main,2.0,1.0
154,alhamdulillah,5.0,1.0
155,unek-unek,2.0,1.0
156,sesalan,1.0,1.0
157,menyaksikan,1.0,1.0
158,pemenangnya,4.0,1.0
159,hiii,1.0,1.0
160,menyuarakan,3.0,1.0
161,menginterprestasikan,1.0,1.0
162,menaksir,3.0,1.0
163,menuturkan,3.0,1.0
164,memperkirakan,2.0,1.0
165,mengimla,1.0,1.0
166,mengantisipasi,3.0,1.0
167,menafsirkan,2.0,1.0
168,mengartikan,1.0,1.0
169,mengasosiasikan,3.0,1.0
170,borong,2.0,1.0
171,payu,2.0,1.0
172,membeli,2.0,1.0
173,membuat,1.0,1.0
174,tertawa kecil,4.0,2.0
175,minta,2.0,1.0
176,mengorak senyum,2.0,2.0
177,mesem,2.0,1.0
178,tersenyum,4.0,1.0
179,ok,4.0,1.0
180,ayo,4.0,1.0
181,mari,4.0,1.0
182,yuk,4.0,1.0
183,lincah,4.0,1.0
184,buru-buru,1.0,1.0
185,kencang,3.0,1.0
186,buntut,1.0,1.0
187,kilat,3.0,1.0
188,kunjung,3.0,1.0
189,mendahului,2.0,1.0
190,segera,3.0,1.0
191,lekas,2.0,1.0
192,akas,2.0,1.0
193,terampil,4.0,1.0
194,jeraus,2.0,1.0
195,pagi,1.0,1.0
196,pesat,3.0,1.0
197,sebat,1.0,1.0
198,kawal,1.0,1.0
199,berkawal,4.0,1.0
200,gugah,2.0,1.0
201,pustaka,4.0,1.0
202,sir-siran,2.0,1.0
203,pelihara,3.0,1.0
204,patroli,2.0,1.0
205,kitab,2.0,1.0
206,ronda,2.0,1.0
207,sambang,2.0,1.0
208,berguru,3.0,1.0
209,menuntut ilmu,4.0,2.0
210,melatih diri,4.0,2.0
211,menimba ilmu,4.0,2.0
212,mengaji,4.0,1.0
213,meneladan,4.0,1.0
214,mencari ilmu,4.0,2.0
215,luck,4.0,1.0
216,bersekolah,3.0,1.0
217,menggali ilmu,4.0,2.0
218,desak,1.0,1.0
219,menelaah,2.0,1.0
220,memahirkan,4.0,1.0
221,harmonisasiuniv,2.0,1.0
222,takut,1.0,1.0
223,sreg,2.0,1.0
224,penyatuan,3.0,1.0
225,wangi,4.0,1.0
226,pulas,4.0,1.0
227,merdu,5.0,1.0
228,harum,5.0,1.0
229,legit,4.0,1.0
230,inkorporasi,3.0,1.0
231,serundai,2.0,1.0
232,helloo,1.0,1.0
233,page,2.0,1.0
234,menyerempakkan,3.0,1.0
235,menyinkronkan,1.0,1.0
236,tolong,3.0,1.0
237,kediaman,2.0,1.0
238,panti,2.0,1.0
239,rumah,3.0,1.0
240,simplistis,3.0,1.0
241,menjejali,1.0,1.0
242,perfek,4.0,1.0
243,tayib,2.0,1.0
244,memejahijaukan,1.0,1.0
245,tayibah,2.0,1.0
246,jamil,2.0,1.0
247,mungil,3.0,1.0
248,rancak,5.0,1.0
249,mengisi,2.0,1.0
250,necis,4.0,1.0
251,menyidangkan,1.0,1.0
252,bagusan,2.0,1.0
253,estetis,4.0,1.0
254,firasat,1.0,1.0
255,cawis,2.0,1.0
256,berdandan,4.0,1.0
257,andini,2.0,1.0
258,indikasi,2.0,1.0
259,tersedia,4.0,1.0
260,tersaji,4.0,1.0
261,sholat,5.0,1.0
262,pastikan,3.0,1.0
263,tersuguh,2.0,1.0
264,perpanjangan,2.0,1.0
265,fiesta,3.0,1.0
266,terdamping,1.0,1.0
267,jomblo,1.0,1.0
268,medali,4.0,1.0
269,terdekat,1.0,1.0
270,artistik,4.0,1.0
271,wah,3.0,1.0
272,imut-imut,4.0,1.0
273,langkah baik,4.0,2.0
274,langkah kanan,3.0,2.0
275,guys,1.0,1.0
276,profit,4.0,1.0
277,waris,3.0,1.0
278,dominan,3.0,1.0
279,kooperasi,1.0,1.0
280,keras tulang,2.0,2.0
281,gedembal,2.0,1.0
282,tangguh,5.0,1.0
283,wedel,2.0,1.0
284,tapa,2.0,1.0
285,kedot,2.0,1.0
286,keikutsertaan,3.0,1.0
287,kesertaan,2.0,1.0
288,dibalas,2.0,1.0
289,kerja sama,4.0,2.0
290,tatap,1.0,1.0
291,berpengaruh,3.0,1.0
292,besar lengan,3.0,2.0
293,partisipasi,3.0,1.0
294,bedegap,3.0,1.0
295,peran serta,3.0,2.0
296,masif,2.0,1.0
297,gratis,4.0,1.0
298,membantu,4.0,1.0
299,busana,2.0,1.0
300,hasad,2.0,1.0
301,keki,1.0,1.0
302,free,3.0,1.0
303,wkwkwk,3.0,1.0
304,sangsi,1.0,1.0
305,berprasangka,1.0,1.0
306,bermaslahat,2.0,1.0
307,mujur,4.0,1.0
308,warisan,3.0,1.0
309,bersetuju,3.0,1.0
310,kenan,2.0,1.0
311,support,4.0,1.0
312,sahabat,4.0,1.0
313,gerimis,1.0,1.0
314,hujan,1.0,1.0
315,handai,3.0,1.0
316,kece,5.0,1.0
317,thank,4.0,1.0
318,hujan ringan,2.0,2.0
319,sobat,4.0,1.0
320,panjang tungkai,2.0,2.0
321,trims,4.0,1.0
322,doa,4.0,1.0
323,pacaran,3.0,1.0
324,berpacaran,3.0,1.0
325,teranyar,4.0,1.0
326,hallo,4.0,1.0
327,happy,5.0,1.0
328,ketemu,1.0,1.0
329,senjang,1.0,1.0
330,mudah-mudahan,1.0,1.0
331,modern,3.0,1.0
332,peranakan,2.0,1.0
333,pemudaan,2.0,1.0
334,masygul,3.0,1.0
335,gelebah,2.0,1.0
336,mending,2.0,1.0
337,regenerasi,4.0,1.0
