date,hour,temperature,cuaca,humidity,wind_speed,location
2025-05-01,1,30.6,Clear,78,0.5,Jakarta
2025-05-01,2,22.9,Cloudy,48,11.1,Medan
2025-05-01,3,24.8,Cloudy,85,8.8,Yogyakarta
2025-05-01,4,21.9,Rain,54,2.2,Bandung
2025-05-01,5,31.7,Cloudy,58,9.8,Medan
2025-05-01,6,29.5,Clear,83,3.5,Bandung
2025-05-01,7,31.2,Clear,58,10.0,Jakarta
2025-05-01,8,30.2,Rain,88,7.6,Yogyakarta
2025-05-01,9,21.7,Cloudy,44,1.0,Jakarta
2025-05-01,10,34.8,Clear,52,1.4,Surabaya
2025-05-01,11,24.9,Clear,78,12.1,Bandung
2025-05-01,12,26.1,Clear,82,6.6,Yogyakarta
2025-05-01,13,20.1,Rain,53,9.9,Bandung
2025-05-01,14,20.0,Cloudy,81,12.1,Yogyakarta
2025-05-01,15,30.8,Clear,70,1.8,Surabaya
2025-05-01,16,31.1,Rain,78,7.0,Bandung
2025-05-01,17,23.1,Clear,74,13.7,Medan
2025-05-01,18,29.3,Clear,57,3.9,Yogyakarta
2025-05-01,19,23.2,Cloudy,40,9.4,Surabaya
2025-05-01,20,24.0,Cloudy,71,5.4,Jakarta
2025-05-01,21,20.7,Rain,88,12.2,Medan
2025-05-01,22,23.9,Rain,67,13.9,Yogyakarta
2025-05-01,23,24.5,Rain,68,4.8,Yogyakarta
2025-05-02,1,28.0,Cloudy,40,11.9,Medan
2025-05-02,2,28.7,Rain,71,0.7,Bandung
2025-05-02,3,22.0,Cloudy,50,7.1,Jakarta
2025-05-02,4,23.8,Clear,61,11.4,Medan
2025-05-02,5,30.6,Cloudy,61,10.7,Bandung
2025-05-02,6,27.9,Clear,41,6.2,Medan
2025-05-02,7,22.0,Clear,66,12.1,Bandung
2025-05-02,8,22.5,Rain,70,5.8,Jakarta
2025-05-02,9,32.9,Clear,54,8.2,Medan
2025-05-02,10,28.5,Clear,82,12.8,Bandung
2025-05-02,11,33.3,Clear,41,12.5,Bandung
2025-05-02,12,24.0,Clear,42,7.1,Surabaya
2025-05-02,13,25.0,Rain,50,12.7,Medan
2025-05-02,14,26.4,Rain,90,7.7,Yogyakarta
2025-05-02,15,21.4,Clear,67,12.4,Medan
2025-05-02,16,34.3,Clear,51,0.2,Yogyakarta
2025-05-02,17,23.4,Rain,71,12.3,Yogyakarta
2025-05-02,18,32.5,Clear,56,4.9,Yogyakarta
2025-05-02,19,31.0,Rain,87,10.2,Yogyakarta
2025-05-02,20,22.7,Clear,60,1.5,Yogyakarta
2025-05-02,21,30.6,Rain,51,5.9,Surabaya
2025-05-02,22,24.5,Rain,80,14.8,Yogyakarta
2025-05-02,23,32.8,Rain,76,12.5,Medan
2025-05-03,1,24.4,Cloudy,67,11.4,Surabaya
2025-05-03,2,20.3,Cloudy,41,10.2,Medan
2025-05-03,3,29.6,Rain,79,14.1,Yogyakarta
2025-05-03,4,28.0,Clear,77,10.0,Medan
2025-05-03,5,22.7,Cloudy,66,7.6,Surabaya
2025-05-03,6,24.9,Clear,72,10.1,Surabaya
2025-05-03,7,31.0,Clear,48,1.0,Surabaya
2025-05-03,8,26.8,Rain,79,12.7,Bandung
2025-05-03,9,32.9,Rain,78,0.3,Yogyakarta
2025-05-03,10,33.1,Rain,40,9.9,Surabaya
2025-05-03,11,32.0,Cloudy,88,3.4,Yogyakarta
2025-05-03,12,31.6,Rain,81,8.6,Surabaya
2025-05-03,13,24.6,Rain,74,10.6,Medan
2025-05-03,14,28.6,Clear,44,3.1,Bandung
2025-05-03,15,27.7,Cloudy,89,1.9,Jakarta
2025-05-03,16,25.2,Rain,70,13.6,Surabaya
2025-05-03,17,27.5,Clear,57,13.7,Yogyakarta
2025-05-03,18,21.5,Rain,69,13.4,Jakarta
2025-05-03,19,33.5,Cloudy,75,7.8,Yogyakarta
2025-05-03,20,20.8,Clear,53,11.6,Yogyakarta
2025-05-03,21,29.2,Clear,75,11.5,Surabaya
2025-05-03,22,26.4,Cloudy,53,9.6,Yogyakarta
2025-05-03,23,28.5,Rain,51,7.6,Jakarta
2025-05-04,1,21.0,Clear,70,12.0,Yogyakarta
2025-05-04,2,22.7,Cloudy,59,5.0,Medan
2025-05-04,3,25.5,Clear,51,10.5,Surabaya
2025-05-04,4,22.9,Clear,62,7.1,Jakarta
2025-05-04,5,26.7,Rain,66,1.7,Jakarta
2025-05-04,6,20.8,Rain,86,13.1,Jakarta
2025-05-04,7,25.4,Clear,47,14.2,Jakarta
2025-05-04,8,34.7,Clear,57,14.5,Bandung
2025-05-04,9,21.1,Rain,79,2.8,Surabaya
2025-05-04,10,34.4,Clear,41,14.8,Yogyakarta
2025-05-04,11,30.1,Rain,67,11.4,Bandung
2025-05-04,12,32.1,Cloudy,77,12.0,Yogyakarta
2025-05-04,13,28.2,Clear,67,7.8,Bandung
2025-05-04,14,34.9,Clear,66,1.6,Surabaya
2025-05-04,15,30.2,Clear,51,7.9,Medan
2025-05-04,16,30.3,Rain,74,1.0,Bandung
2025-05-04,17,32.2,Cloudy,70,3.7,Medan
2025-05-04,18,27.7,Cloudy,77,10.4,Bandung
2025-05-04,19,31.5,Cloudy,61,6.3,Bandung
2025-05-04,20,35.0,Clear,73,10.6,Yogyakarta
2025-05-04,21,22.7,Rain,84,3.1,Jakarta
2025-05-04,22,21.9,Clear,58,4.5,Bandung
2025-05-04,23,24.6,Clear,70,0.7,Jakarta
2025-05-05,1,26.7,Rain,59,7.8,Surabaya
2025-05-05,2,25.6,Clear,60,10.6,Yogyakarta
2025-05-05,3,30.8,Clear,80,1.4,Jakarta
2025-05-05,4,21.3,Clear,61,9.0,Surabaya
2025-05-05,5,28.1,Clear,45,14.3,Surabaya
2025-05-05,6,23.9,Cloudy,44,12.6,Medan
2025-05-05,7,29.2,Rain,79,4.3,Surabaya
2025-05-05,8,26.2,Rain,43,10.1,Bandung
2025-05-05,9,32.4,Cloudy,84,8.2,Jakarta
2025-05-05,10,21.3,Cloudy,52,6.1,Medan
2025-05-05,11,26.1,Clear,75,8.6,Jakarta
2025-05-05,12,29.3,Cloudy,84,9.6,Medan
2025-05-05,13,28.7,Rain,52,3.7,Jakarta
2025-05-05,14,28.7,Rain,46,1.3,Bandung
2025-05-05,15,20.1,Clear,90,0.8,Jakarta
2025-05-05,16,21.5,Rain,56,4.8,Medan
2025-05-05,17,24.9,Cloudy,64,11.1,Yogyakarta
2025-05-05,18,24.4,Cloudy,88,0.1,Surabaya
2025-05-05,19,22.9,Cloudy,46,10.4,Medan
2025-05-05,20,24.6,Clear,72,3.7,Medan
2025-05-05,21,24.3,Rain,59,12.6,Surabaya
2025-05-05,22,25.5,Cloudy,82,9.2,Jakarta
2025-05-05,23,25.0,Cloudy,59,0.3,Surabaya
2025-05-06,1,27.8,Cloudy,67,9.6,Jakarta
2025-05-06,2,25.9,Rain,46,2.4,Jakarta
2025-05-06,3,29.5,Clear,76,0.6,Bandung
2025-05-06,4,21.6,Rain,41,6.6,Jakarta
2025-05-06,5,21.5,Clear,68,12.1,Jakarta
2025-05-06,6,21.4,Rain,77,0.5,Medan
